,HorarioH,Velocidade máxima,Horário,Gênero,Região,Idade
221,16.833333333333332,110,1010,Male,Inner Regional Australia,58
222,9.583333333333334,100,575,Male,Outer Regional Australia,63
223,15.0,100,900,Female,Outer Regional Australia,54
224,10.666666666666666,100,640,Female,Outer Regional Australia,55
225,15.5,40,930,Male,Major Cities of Australia,45
226,18.166666666666668,60,1090,Male,Major Cities of Australia,33
227,15.0,100,900,Male,Outer Regional Australia,59
229,6.833333333333333,60,410,Male,Inner Regional Australia,45
230,17.5,70,1050,Male,Major Cities of Australia,45
232,15.5,110,930,Male,Very Remote Australia,49
233,14.333333333333334,100,860,Male,Inner Regional Australia,40
234,15.783333333333333,100,947,Male,Outer Regional Australia,33
235,7.0,110,420,Male,Outer Regional Australia,7
236,7.0,110,420,Female,Outer Regional Australia,5
237,13.916666666666666,110,835,Male,Inner Regional Australia,73
238,6.583333333333333,80,395,Male,Major Cities of Australia,66
240,16.033333333333335,100,962,Male,Very Remote Australia,9
241,10.0,60,600,Female,Major Cities of Australia,79
242,22.25,50,1335,Male,Outer Regional Australia,55
243,2.3333333333333335,80,140,Male,Major Cities of Australia,57
244,4.5,100,270,Male,Outer Regional Australia,57
245,12.0,100,720,Female,Inner Regional Australia,79
246,12.333333333333334,50,740,Female,Major Cities of Australia,84
