,HorarioH,Velocidade máxima,Horário,Gênero,Região,Idade
452,18,80,1105,Male,Outer Regional Australia,20
453,20,80,1245,Male,Inner Regional Australia,18
454,18,50,1082,Male,Inner Regional Australia,17
455,1,50,65,Male,Very Remote Australia,54
456,0,50,30,Male,Major Cities of Australia,21
457,21,50,1285,Male,Outer Regional Australia,20
458,20,80,1230,Female,Major Cities of Australia,14
459,1,100,112,Male,Inner Regional Australia,32
460,15,50,955,Female,Major Cities of Australia,88
461,18,80,1105,Male,Major Cities of Australia,69
463,1,60,117,Male,Major Cities of Australia,19
464,20,60,1220,Female,Major Cities of Australia,46
466,19,50,1145,Male,Inner Regional Australia,64
467,21,100,1260,Female,Inner Regional Australia,23
468,5,80,330,Male,Inner Regional Australia,37
469,18,130,1080,Male,Remote Australia,30
470,4,80,265,Female,Inner Regional Australia,43
471,4,80,265,Male,Inner Regional Australia,47
472,18,80,1080,Male,Major Cities of Australia,31
474,23,110,1380,Female,Remote Australia,44
475,5,100,320,Male,Inner Regional Australia,23
476,4,80,265,Male,Inner Regional Australia,5
477,9,60,540,Male,Major Cities of Australia,46
479,7,100,420,Male,Outer Regional Australia,62
480,14,80,840,Male,Outer Regional Australia,52
481,21,70,1260,Male,Major Cities of Australia,55
484,10,100,608,Male,Outer Regional Australia,62
485,9,60,550,Male,Major Cities of Australia,30
487,15,100,915,Male,Outer Regional Australia,58
488,6,60,418,Male,Major Cities of Australia,56
490,12,50,775,Male,Major Cities of Australia,57
491,18,100,1092,Male,Inner Regional Australia,85
492,6,100,390,Male,Outer Regional Australia,24
493,6,100,360,Male,Inner Regional Australia,21
494,10,60,600,Male,Inner Regional Australia,31
495,14,100,860,Male,Inner Regional Australia,29
496,15,70,900,Male,Major Cities of Australia,28
497,11,60,665,Female,Major Cities of Australia,84
498,2,80,150,Male,Major Cities of Australia,24
499,12,70,765,Male,Major Cities of Australia,31
501,23,70,1380,Male,Inner Regional Australia,21
502,17,80,1050,Male,Inner Regional Australia,39
504,13,80,780,Male,Major Cities of Australia,62
505,17,60,1020,Male,Major Cities of Australia,28
507,12,100,735,Male,Outer Regional Australia,62
508,12,100,725,Female,Inner Regional Australia,62
509,1,100,105,Male,Outer Regional Australia,19
510,19,100,1140,Male,Inner Regional Australia,18
511,19,100,1140,Male,Inner Regional Australia,18
513,19,80,1176,Male,Outer Regional Australia,39
514,20,70,1230,Male,Major Cities of Australia,32
515,6,110,390,Male,Outer Regional Australia,66
516,13,100,780,Male,Outer Regional Australia,65
517,12,100,724,Male,Outer Regional Australia,65
518,5,110,320,Female,Remote Australia,29
519,14,100,860,Male,Major Cities of Australia,23
520,17,110,1021,Male,Major Cities of Australia,53
521,11,100,660,Female,Inner Regional Australia,77
522,18,100,1080,Male,Inner Regional Australia,55
523,23,100,1380,Male,Very Remote Australia,35
524,6,100,380,Male,Major Cities of Australia,21
525,17,100,1048,Male,Outer Regional Australia,23
527,10,100,600,Male,Inner Regional Australia,36
528,11,100,660,Male,Inner Regional Australia,38
529,17,50,1069,Male,Major Cities of Australia,31
530,16,100,960,Female,Outer Regional Australia,85
531,16,100,960,Male,Outer Regional Australia,76
532,16,100,960,Male,Outer Regional Australia,87
533,14,110,863,Male,Inner Regional Australia,86
534,13,40,812,Male,Inner Regional Australia,91
535,19,60,1160,Female,Major Cities of Australia,25
536,20,60,1228,Male,Major Cities of Australia,54
537,22,80,1348,Male,Major Cities of Australia,19
538,21,50,1270,Male,Inner Regional Australia,23
539,13,50,780,Female,Major Cities of Australia,87
540,5,100,300,Female,Remote Australia,38
541,8,60,516,Female,Inner Regional Australia,61
542,21,110,1265,Female,Major Cities of Australia,21
543,10,60,643,Male,Major Cities of Australia,93
544,17,60,1067,Male,Major Cities of Australia,15
545,19,100,1140,Male,Outer Regional Australia,35
546,4,100,280,Male,Major Cities of Australia,26
547,19,100,1140,Male,Major Cities of Australia,53
549,18,50,1120,Male,Major Cities of Australia,23
550,2,50,175,Male,Major Cities of Australia,23
551,1,80,68,Male,Major Cities of Australia,19
552,2,80,145,Male,Inner Regional Australia,20
553,2,70,120,Male,Outer Regional Australia,50
555,18,70,1112,Female,Major Cities of Australia,14
556,1,80,60,Male,Major Cities of Australia,55
557,1,100,109,Male,Outer Regional Australia,28
558,4,70,260,Male,Major Cities of Australia,62
559,19,100,1155,Female,Major Cities of Australia,47
560,22,100,1320,Male,Outer Regional Australia,29
561,12,100,720,Female,Inner Regional Australia,32
562,17,100,1055,Male,Inner Regional Australia,39
563,16,100,960,Male,Outer Regional Australia,63
564,11,100,660,Female,Outer Regional Australia,53
566,12,110,730,Female,Very Remote Australia,57
567,9,60,597,Male,Major Cities of Australia,45
568,8,60,495,Male,Remote Australia,57
569,17,60,1062,Female,Major Cities of Australia,60
570,16,100,960,Female,Inner Regional Australia,52
571,12,110,730,Male,Very Remote Australia,23
572,12,60,720,Male,Inner Regional Australia,61
573,7,90,420,Female,Remote Australia,50
575,15,100,950,Female,Inner Regional Australia,58
576,16,100,985,Male,Inner Regional Australia,51
577,9,100,540,Male,Inner Regional Australia,28
578,9,100,575,Male,Inner Regional Australia,53
580,15,100,942,Male,Inner Regional Australia,37
581,8,70,480,Male,Major Cities of Australia,65
583,14,100,840,Male,Outer Regional Australia,67
584,11,100,705,Male,Inner Regional Australia,66
585,20,110,1241,Male,Outer Regional Australia,24
586,10,60,623,Female,Major Cities of Australia,81
587,10,80,610,Male,Major Cities of Australia,81
588,15,90,900,Male,Inner Regional Australia,20
589,15,90,900,Male,Inner Regional Australia,22
590,12,60,722,Male,Major Cities of Australia,32
591,16,100,960,Female,Inner Regional Australia,32
592,14,100,860,Male,Inner Regional Australia,75
594,6,60,360,Male,Inner Regional Australia,38
595,8,100,487,Male,Inner Regional Australia,28
597,16,80,995,Male,Inner Regional Australia,54
598,10,60,644,Male,Major Cities of Australia,54
599,10,110,652,Male,Inner Regional Australia,52
600,2,80,145,Male,Inner Regional Australia,23
601,14,100,840,Female,Inner Regional Australia,40
602,7,100,420,Male,Inner Regional Australia,51
603,21,100,1310,Male,Inner Regional Australia,18
604,14,80,840,Male,Inner Regional Australia,0
605,15,70,950,Male,Major Cities of Australia,42
606,13,80,805,Male,Inner Regional Australia,63
607,9,110,540,Male,Inner Regional Australia,56
609,8,100,500,Male,Inner Regional Australia,27
610,14,110,865,Male,Inner Regional Australia,52
611,16,70,1003,Female,Major Cities of Australia,70
612,10,60,605,Male,Inner Regional Australia,74
614,12,100,731,Female,Outer Regional Australia,74
615,8,80,525,Male,Major Cities of Australia,66
616,8,100,490,Male,Outer Regional Australia,71
617,9,60,540,Male,Major Cities of Australia,66
618,6,80,383,Male,Inner Regional Australia,25
619,17,100,1020,Male,Inner Regional Australia,28
620,22,80,1366,Female,Inner Regional Australia,62
621,11,80,709,Female,Inner Regional Australia,85
622,19,60,1155,Female,Major Cities of Australia,5
624,2,50,120,Male,Major Cities of Australia,45
625,1,110,85,Male,Outer Regional Australia,46
626,20,100,1200,Female,Outer Regional Australia,51
627,16,60,1018,Male,Outer Regional Australia,24
628,15,100,900,Male,Outer Regional Australia,18
629,16,100,960,Male,Inner Regional Australia,20
630,16,100,960,Male,Major Cities of Australia,28
631,3,80,199,Male,Major Cities of Australia,16
632,15,100,900,Male,Inner Regional Australia,29
633,13,80,780,Male,Inner Regional Australia,38
634,14,60,840,Male,Major Cities of Australia,77
635,14,60,840,Female,Major Cities of Australia,81
636,14,100,860,Male,Inner Regional Australia,75
637,10,100,659,Female,Inner Regional Australia,81
638,8,100,535,Male,Inner Regional Australia,84
639,9,60,577,Male,Major Cities of Australia,77
640,10,70,600,Male,Major Cities of Australia,80
641,11,50,698,Male,Major Cities of Australia,78
642,21,110,1278,Male,Outer Regional Australia,43
643,22,100,1350,Male,Inner Regional Australia,24
644,18,60,1103,Female,Major Cities of Australia,74
645,14,60,860,Male,Major Cities of Australia,65
646,11,40,682,Male,Major Cities of Australia,74
647,22,50,1375,Female,Major Cities of Australia,38
648,13,50,780,Male,Inner Regional Australia,68
650,19,80,1140,Male,Major Cities of Australia,29
651,1,100,60,Male,Outer Regional Australia,28
652,21,100,1260,Male,Inner Regional Australia,16
653,21,60,1260,Female,Outer Regional Australia,22
655,22,70,1320,Male,Major Cities of Australia,17
656,0,100,25,Male,Outer Regional Australia,33
657,1,50,63,Male,Major Cities of Australia,27
658,19,110,1140,Female,Remote Australia,42
659,18,80,1090,Male,Outer Regional Australia,53
660,1,100,70,Male,Inner Regional Australia,48
661,18,50,1080,Male,Outer Regional Australia,19
663,23,110,1391,Male,Outer Regional Australia,58
664,23,100,1417,Male,Inner Regional Australia,28
665,14,100,885,Male,Outer Regional Australia,28
667,14,100,880,Male,Outer Regional Australia,55
668,7,60,420,Male,Major Cities of Australia,47
669,14,60,885,Male,Major Cities of Australia,44
670,14,60,894,Male,Major Cities of Australia,42
671,9,60,584,Male,Inner Regional Australia,59
672,12,100,735,Male,Inner Regional Australia,47
673,15,80,930,Male,Inner Regional Australia,57
674,8,60,492,Male,Major Cities of Australia,52
677,12,80,765,Female,Inner Regional Australia,47
678,12,70,725,Female,Inner Regional Australia,63
679,9,60,550,Male,Major Cities of Australia,12
680,16,60,960,Male,Major Cities of Australia,33
681,8,60,480,Female,Major Cities of Australia,35
683,2,100,165,Male,Inner Regional Australia,16
684,17,100,1030,Male,Outer Regional Australia,27
685,6,80,415,Male,Major Cities of Australia,30
686,11,80,675,Male,Inner Regional Australia,35
687,18,100,1080,Male,Inner Regional Australia,21
688,23,100,1380,Male,Remote Australia,18
690,1,60,60,Male,Outer Regional Australia,19
691,11,100,680,Female,Outer Regional Australia,49
692,6,110,360,Female,Remote Australia,49
693,14,60,840,Male,Inner Regional Australia,63
694,8,90,480,Male,Inner Regional Australia,62
695,9,80,540,Male,Major Cities of Australia,59
696,12,60,720,Female,Inner Regional Australia,41
697,12,60,720,Male,Inner Regional Australia,40
698,19,100,1189,Female,Major Cities of Australia,26
699,16,60,989,Female,Major Cities of Australia,61
701,19,60,1140,Male,Major Cities of Australia,26
702,22,100,1345,Male,Inner Regional Australia,26
703,14,80,840,Male,Inner Regional Australia,50
704,6,110,360,Female,Remote Australia,8
705,11,90,710,Male,Major Cities of Australia,55
706,17,100,1030,Male,Outer Regional Australia,50
707,6,80,385,Male,Major Cities of Australia,25
708,15,50,935,Male,Major Cities of Australia,2
709,16,60,974,Male,Inner Regional Australia,68
710,13,100,780,Female,Inner Regional Australia,74
711,14,60,840,Male,Inner Regional Australia,70
712,9,60,540,Male,Major Cities of Australia,73
713,1,100,60,Male,Outer Regional Australia,35
714,11,80,660,Male,Inner Regional Australia,72
715,13,80,825,Male,Outer Regional Australia,66
717,4,100,288,Male,Inner Regional Australia,44
718,2,100,145,Male,Outer Regional Australia,46
719,22,80,1321,Female,Major Cities of Australia,19
720,9,80,550,Male,Outer Regional Australia,80
721,18,70,1130,Male,Outer Regional Australia,59
722,0,100,0,Male,Outer Regional Australia,26
723,21,60,1290,Male,Major Cities of Australia,40
724,21,80,1311,Male,Major Cities of Australia,42
725,18,90,1136,Male,Inner Regional Australia,60
726,11,100,705,Male,Inner Regional Australia,85
727,5,100,345,Male,Outer Regional Australia,48
