,HorarioH,VelocidadeMaxima,Horário,Gênero,Região,Idade,Ano,Mes,TipoBatida
369,18,100,1080,Male,Outer Regional Australia,27,2021,6,2
370,8,50,514,Female,Major Cities of Australia,53,2021,6,1
371,14,60,890,Male,Major Cities of Australia,68,2021,6,1
372,17,50,1065,Male,Inner Regional Australia,69,2021,6,1
373,17,50,1065,Female,Inner Regional Australia,75,2021,6,1
374,17,60,1070,Male,Inner Regional Australia,83,2021,6,1
375,17,50,1035,Male,Major Cities of Australia,84,2021,6,1
376,7,60,420,Female,Major Cities of Australia,84,2021,6,1
378,21,50,1315,Male,Major Cities of Australia,70,2021,6,1
379,9,70,554,Female,Major Cities of Australia,80,2021,6,1
380,12,70,725,Male,Major Cities of Australia,89,2021,6,1
382,20,100,1255,Male,Outer Regional Australia,18,2021,5,1
383,4,110,285,Female,Outer Regional Australia,57,2021,5,1
384,2,60,150,Female,Inner Regional Australia,23,2021,5,1
386,2,70,133,Female,Outer Regional Australia,36,2021,5,2
387,19,130,1185,Male,Very Remote Australia,29,2021,5,2
388,4,110,277,Male,Outer Regional Australia,29,2021,5,2
390,21,80,1268,Female,Inner Regional Australia,57,2021,5,1
391,18,60,1100,Male,Major Cities of Australia,45,2021,5,1
392,23,100,1380,Female,Outer Regional Australia,46,2021,5,1
393,1,50,60,Male,Outer Regional Australia,16,2021,5,1
394,20,100,1232,Male,Inner Regional Australia,17,2021,5,2
395,8,100,518,Male,Inner Regional Australia,37,2021,5,1
397,6,100,412,Male,Outer Regional Australia,45,2021,5,1
398,12,80,779,Male,Inner Regional Australia,43,2021,5,1
399,13,80,809,Female,Outer Regional Australia,58,2021,5,2
401,8,50,490,Female,Major Cities of Australia,46,2021,5,2
402,12,80,760,Male,Outer Regional Australia,57,2021,5,2
404,12,80,745,Male,Inner Regional Australia,48,2021,5,2
406,21,100,1260,Male,Remote Australia,67,2021,5,2
408,14,110,899,Male,Outer Regional Australia,69,2021,5,2
409,1,60,60,Female,Major Cities of Australia,85,2021,5,2
410,13,70,795,Female,Major Cities of Australia,67,2021,5,2
411,16,50,960,Male,Inner Regional Australia,18,2021,5,1
413,16,100,960,Male,Outer Regional Australia,39,2021,5,1
414,15,60,902,Male,Major Cities of Australia,26,2021,5,2
415,9,100,540,Male,Outer Regional Australia,78,2021,5,2
417,15,110,900,Female,Remote Australia,30,2021,5,2
418,16,100,1003,Male,Outer Regional Australia,33,2021,5,1
419,10,100,600,Male,Remote Australia,36,2021,5,1
420,17,100,1020,Male,Outer Regional Australia,39,2021,5,1
421,15,80,941,Male,Outer Regional Australia,51,2021,5,2
422,6,100,400,Male,Outer Regional Australia,50,2021,5,1
423,9,110,552,Male,Very Remote Australia,52,2021,5,1
424,0,50,27,Male,Remote Australia,24,2021,5,1
426,12,50,735,Male,Major Cities of Australia,57,2021,5,1
